rank,priority_tier,cluster,keyword,intent,recommended_target,search_volume_us,clicks_us,click_through_ratio,cpc_usd,difficulty,global_search_volume,traffic_potential,priority_score
1,P1 — 优先布局,核心 SEO 服务,seo services,commercial,/services/seo-services,60000,46762,0.78,8.0,0.0,129000.0,40000.0,87.1
2,P1 — 优先布局,核心 SEO 服务,seo agency,commercial,/services/seo-services,51000,54105,1.06,10.0,1.0,133000.0,17000.0,85.3
3,P1 — 优先布局,核心 SEO 服务,seo consultant,commercial,/services/seo-services,13000,6053,0.47,7.0,6.0,32000.0,27000.0,78.8
4,P1 — 优先布局,外链与数字公关,link building services,commercial,New /services/link-building,9200,14870,1.62,5.0,27.0,19000.0,16000.0,73.3
5,P1 — 优先布局,关键词与内容策略,seo content strategy,commercial,New /services/seo-content-strategy,3200,4311,1.35,2.5,20.0,7300.0,12000.0,67.8
6,P1 — 优先布局,技术 SEO,technical seo services,commercial,/services/technical-seo,11000,0,0.0,4.5,19.0,16000.0,7900.0,64.2
7,P1 — 优先布局,核心 SEO 服务,seo strategy services,commercial,/services/seo-services,800,0,0.0,8.0,0.0,1800.0,21000.0,63.9
8,P1 — 优先布局,核心 SEO 服务,b2b seo agency,commercial,/services/seo-services,4200,0,0.0,17.0,10.0,11000.0,1900.0,63.8
9,P1 — 优先布局,核心 SEO 服务,saas seo agency,commercial,/services/seo-services,3600,0,0.0,9.0,10.0,6600.0,2100.0,61.6
10,P1 — 优先布局,AI 搜索与 GEO,ai seo agency,commercial,/services/geo-services,3600,0,0.0,9.0,10.0,10000.0,1900.0,61.4
11,P1 — 优先布局,外链与数字公关,link building agency,commercial,New /services/link-building,4700,0,0.0,9.0,50.0,10000.0,15000.0,60.9
12,P1 — 优先布局,关键词与内容策略,keyword strategy,commercial,New /services/keyword-research,1200,1111,0.93,4.0,11.0,2200.0,1100.0,60.9
13,P1 — 优先布局,站内 SEO,on page seo services,commercial,New /services/on-page-seo,3300,0,0.0,5.0,6.0,6900.0,2500.0,60.6
14,P1 — 优先布局,技术 SEO,website migration seo,commercial,/services/technical-seo,800,0,0.0,10.0,12.0,1700.0,4600.0,59.3
15,P1 — 优先布局,外链与数字公关,digital pr agency,commercial,New /services/link-building,2500,0,0.0,13.0,26.0,6200.0,1900.0,59.1
16,P1 — 优先布局,站内 SEO,on page seo audit,commercial,New /services/on-page-seo,1100,0,0.0,9.0,82.0,3900.0,284000.0,58.9
17,P1 — 优先布局,核心 SEO 服务,saas seo consultant,commercial,/services/seo-services,900,0,0.0,25.0,2.0,2100.0,350.0,58.2
18,P1 — 优先布局,AI 搜索与 GEO,geo services,commercial,/services/geo-services,700,381,0.54,6.0,54.0,1900.0,9000.0,58.1
